avg_val_loss,attn_type,use_out_proj,identity_weight,feature_map_qkv,feature_map_attn,num_tries,num_steps,avg_time_ns
5.59375,hydra,true,,sqrt_dim,tanh,1,200,62431838008.0
5.59375,hydra,true,,tanh,cos_sim,1,200,61406998636.0
5.59375,hydra,true,,sigmoid,cos_sim,1,200,64975886693.0
5.59375,hydra,true,,identity,cos_sim,1,200,61214615861.0
5.59375,hercules,true,,cos_sim,cos_sim,1,200,64211049522.0
5.59375,hercules,true,,sqrt_dim,cos_sim,1,200,62091956208.0
5.59375,hercules,true,,tanh,cos_sim,1,200,63842990715.0
5.625,hydra,true,,cos_sim,cos_sim,1,200,72549659307.0
5.625,hydra,true,,cos_sim,tanh,1,200,68876939032.0
5.625,hydra,true,,relu,cos_sim,1,200,64786686194.0
5.625,hydra,true,,gelu,cos_sim,1,200,64313503603.0
5.625,hercules,true,,identity,cos_sim,1,200,62961098912.0
5.625,hercules,true,,identity,sigmoid,1,200,70389514860.0
5.65625,hydra,true,,sqrt_dim,cos_sim,1,200,68250570796.0
5.65625,hydra,true,,sqrt_dim,sigmoid,1,200,63437444127.0
5.65625,hercules,true,,tanh,sigmoid,1,200,64308220498.0
5.65625,hercules,true,,gelu,cos_sim,1,200,67297153011.0
5.6875,hydra,true,,cos_sim,sigmoid,1,200,64913649201.0
5.71875,hercules,true,,sigmoid,cos_sim,1,200,65016997607.0
5.71875,hercules,true,,gelu,sigmoid,1,200,62547136356.0
5.71875,zeus,false,0.5,identity,sigmoid,1,200,59742894330.0
5.75,hydra,true,,tanh,tanh,1,200,61316886369.0
5.75,hydra,true,,relu,sigmoid,1,200,62757855365.0
5.75,hydra,true,,gelu,sigmoid,1,200,65271005445.0
5.75,hydra,true,,identity,tanh,1,200,72104958566.0
5.75,hydra,true,,identity,sigmoid,1,200,70710002664.0
5.75,hercules,true,,cos_sim,sigmoid,1,200,65194626628.0
5.75,hercules,true,,sqrt_dim,sigmoid,1,200,66868829749.0
5.75,hercules,true,,sigmoid,sigmoid,1,200,72437390536.0
5.75,hercules,true,,relu,cos_sim,1,200,62882282580.0
5.75,zeus,false,0.5,cos_sim,sigmoid,1,200,62103398804.0
5.75,zeus,false,0.5,tanh,sigmoid,1,200,60492163618.0
5.75,zeus,false,0.5,sigmoid,tanh,1,200,59310508250.0
5.75,zeus,false,0.5,sigmoid,sigmoid,1,200,61014389029.0
5.75,zeus,false,0.5,relu,sigmoid,1,200,58830418341.0
5.75,zeus,false,0.5,gelu,sigmoid,1,200,60993529113.0
5.78125,hydra,true,,tanh,sigmoid,1,200,62486395151.0
5.78125,hydra,true,,sigmoid,sigmoid,1,200,64661015392.0
5.78125,hercules,true,,tanh,tanh,1,200,67696397744.0
5.8125,hercules,true,,softmax,sigmoid,1,200,67941537056.0
5.8125,hercules,true,,identity,tanh,1,200,60654979550.0
5.84375,hydra,true,,gelu,tanh,1,200,61826044385.0
5.84375,hercules,true,,sigmoid,tanh,1,200,60645461343.0
5.84375,hercules,true,,relu,sigmoid,1,200,66550365148.0
5.84375,zeus,false,0.5,tanh,tanh,1,200,58279920861.0
5.84375,zeus,false,0.5,softmax,sigmoid,1,200,60783560467.0
5.875,hydra,true,,sigmoid,tanh,1,200,65066140074.0
5.875,hydra,true,,relu,tanh,1,200,65493418448.0
5.875,zeus,false,0.5,softmax,softmax,1,200,61241462206.0
5.875,zeus,false,0.5,sigmoid,cos_sim,1,200,59278892088.0
5.875,zeus,false,0.5,sigmoid,softmax,1,200,59399192551.0
5.875,zeus,false,0.5,relu,tanh,1,200,58020283213.0
5.875,zeus,false,0.5,gelu,tanh,1,200,58833165539.0
5.875,zeus,false,0.5,identity,cos_sim,1,200,59135348385.0
5.875,zeus,false,0.5,identity,tanh,1,200,57348324014.0
5.90625,zeus,false,0.5,cos_sim,tanh,1,200,61804725622.0
5.90625,zeus,false,0.5,sqrt_dim,cos_sim,1,200,60006952124.0
5.90625,zeus,false,0.5,tanh,cos_sim,1,200,59950413007.0
5.90625,zeus,false,0.5,softmax,sqrt_dim,1,200,60210915708.0
5.90625,zeus,false,0.5,relu,softmax,1,200,58010546427.0
5.90625,zeus,false,0.5,gelu,cos_sim,1,200,60765931735.0
5.9375,hercules,true,,softmax,softmax,1,200,65627778961.0
5.9375,zeus,false,0.5,softmax,tanh,1,200,60900348462.0
5.96875,hercules,true,,relu,tanh,1,200,68151584229.0
5.96875,zeus,false,0.5,softmax,cos_sim,1,200,59020872161.0
6.0,hercules,true,,sqrt_dim,softmax,1,200,61214003995.0
6.0,zeus,false,0.5,softmax,gelu,1,200,59007719747.0
6.03125,hydra,true,,softmax,cos_sim,1,200,67582185631.0
6.03125,zeus,false,0.5,sqrt_dim,sqrt_dim,1,200,59414476144.0
6.03125,zeus,false,0.5,softmax,identity,1,200,61501286258.0
6.03125,zeus,false,0.5,gelu,softmax,1,200,58277536287.0
6.0625,zeus,false,0.5,sqrt_dim,softmax,1,200,59872853457.0
6.0625,zeus,false,0.5,softmax,relu,1,200,58115302562.0
6.09375,hercules,true,,gelu,tanh,1,200,66201603947.0
6.09375,zeus,false,0.5,cos_sim,cos_sim,1,200,65840244597.0
6.09375,zeus,false,0.5,relu,cos_sim,1,200,58888063407.0
6.125,hydra,true,,cos_sim,softmax,1,200,71497797415.0
6.1875,zeus,false,0.5,cos_sim,softmax,1,200,61637414417.0
6.21875,zeus,false,0.5,sqrt_dim,sigmoid,1,200,59821577636.0
6.25,hydra,true,,softmax,softmax,1,200,63744414545.0
6.25,zeus,false,0.5,tanh,softmax,1,200,57369908814.0
6.28125,hercules,true,,softmax,tanh,1,200,66656151804.0
6.28125,zeus,false,0.5,cos_sim,gelu,1,200,60470240420.0
6.3125,hydra,true,,softmax,sqrt_dim,1,200,63605895222.0
6.3125,hydra,true,,softmax,relu,1,200,64525494029.0
6.3125,hercules,true,,softmax,sqrt_dim,1,200,66418404130.0
6.34375,hercules,true,,softmax,relu,1,200,66066165162.0
6.375,hydra,true,,cos_sim,sqrt_dim,1,200,73923513269.0
6.375,zeus,false,0.5,cos_sim,relu,1,200,59942772648.0
6.40625,hydra,true,,softmax,tanh,1,200,64298367467.0
6.40625,hercules,true,,cos_sim,softmax,1,200,64061924728.0
6.40625,hercules,true,,sigmoid,softmax,1,200,60140936584.0
6.4375,hydra,true,,cos_sim,relu,1,200,66861795285.0
6.4375,hydra,true,,softmax,gelu,1,200,64942919487.0
6.4375,hydra,true,,identity,identity,1,200,65375837695.0
6.4375,hercules,true,,softmax,gelu,1,200,69603964335.0
6.4375,hercules,true,,softmax,identity,1,200,67981819734.0
6.46875,hydra,true,,softmax,sigmoid,1,200,70964325538.0
6.5,hydra,true,,sigmoid,identity,1,200,64561607450.0
6.5,zeus,false,0.5,identity,softmax,1,200,58771762547.0
6.53125,hercules,true,,identity,relu,1,200,59938181894.0
6.5625,hydra,true,,tanh,identity,1,200,70814878347.0
6.5625,hercules,true,,tanh,identity,1,200,61873527468.0
6.65625,hercules,true,,softmax,cos_sim,1,200,69668981828.0
6.71875,hydra,true,,softmax,identity,1,200,66417712504.0
6.75,zeus,false,0.5,cos_sim,identity,1,200,60351055203.0
6.75,zeus,false,0.5,tanh,relu,1,200,57631556966.0
6.84375,hercules,true,,sigmoid,identity,1,200,60555932481.0
6.875,zeus,false,0.5,sqrt_dim,tanh,1,200,58388128051.0
6.90625,zeus,false,0.5,identity,gelu,1,200,56675679732.0
6.9375,hydra,true,,sigmoid,relu,1,200,66237866045.0
6.9375,hercules,true,,identity,gelu,1,200,62783618406.0
6.9375,hercules,true,,identity,identity,1,200,60591809753.0
6.9375,zeus,false,0.5,sqrt_dim,gelu,1,200,57756136914.0
6.96875,hydra,true,,sigmoid,softmax,1,200,66178401326.0
6.96875,zeus,false,0.5,cos_sim,sqrt_dim,1,200,62002225853.0
7.0,hercules,true,,sigmoid,gelu,1,200,58989319410.0
7.0,zeus,false,0.5,tanh,gelu,1,200,59472138075.0
7.03125,hydra,true,,cos_sim,identity,1,200,68516326631.0
7.0625,hydra,true,,sigmoid,gelu,1,200,66661494023.0
7.09375,hercules,true,,relu,softmax,1,200,64205541172.0
7.1875,hydra,true,,cos_sim,gelu,1,200,66550130287.0
7.25,hydra,true,,sqrt_dim,sqrt_dim,1,200,74911132476.0
7.25,hydra,true,,sqrt_dim,softmax,1,200,60298388769.0
7.28125,hydra,true,,identity,softmax,1,200,63857145912.0
7.28125,zeus,false,0.5,sqrt_dim,identity,1,200,60868780555.0
7.3125,hercules,true,,sigmoid,relu,1,200,63679252070.0
7.34375,hercules,true,,sqrt_dim,tanh,1,200,65132116755.0
7.375,hercules,true,,cos_sim,tanh,1,200,65315331426.0
7.40625,hydra,true,,sqrt_dim,identity,1,200,63496730384.0
7.40625,hydra,true,,relu,softmax,1,200,65321246410.0
7.4375,hydra,true,,relu,sqrt_dim,1,200,65390207093.0
7.4375,hydra,true,,gelu,sqrt_dim,1,200,63313351114.0
7.4375,zeus,false,0.5,sqrt_dim,relu,1,200,57440008324.0
7.5,hercules,true,,cos_sim,relu,1,200,62117507198.0
7.5625,hydra,true,,tanh,softmax,1,200,65792189723.0
7.5625,hydra,true,,relu,relu,1,200,65732256654.0
7.5625,hercules,true,,relu,identity,1,200,64979791444.0
7.6875,hydra,true,,relu,gelu,1,200,65237793451.0
7.71875,hercules,true,,relu,sqrt_dim,1,200,59811547573.0
7.78125,hydra,true,,gelu,identity,1,200,61562499489.0
7.8125,hercules,true,,sqrt_dim,sqrt_dim,1,200,65757664996.0
7.8125,hercules,true,,identity,softmax,1,200,58276099476.0
7.875,hydra,true,,gelu,relu,1,200,68856973976.0
7.875,hydra,true,,identity,sqrt_dim,1,200,60554578091.0
7.875,hercules,true,,tanh,relu,1,200,63657053347.0
7.90625,hydra,true,,sqrt_dim,gelu,1,200,65007943410.0
7.90625,hydra,true,,tanh,sqrt_dim,1,200,62068424563.0
7.90625,hydra,true,,gelu,softmax,1,200,63627861706.0
7.90625,hercules,true,,relu,relu,1,200,60985953910.0
8.0625,hercules,true,,cos_sim,identity,1,200,65267022136.0
8.0625,hercules,true,,gelu,sqrt_dim,1,200,68097725832.0
8.0625,hercules,true,,identity,sqrt_dim,1,200,60915940285.0
8.125,hydra,true,,sqrt_dim,relu,1,200,62460650276.0
8.125,hercules,true,,relu,gelu,1,200,62540369789.0
8.1875,hydra,true,,relu,identity,1,200,64005230594.0
8.1875,hercules,true,,gelu,gelu,1,200,71058046106.0
8.1875,zeus,false,0.5,relu,sqrt_dim,1,200,60093436686.0
8.25,hercules,true,,tanh,softmax,1,200,78208525912.0
8.25,zeus,false,0.5,gelu,sqrt_dim,1,200,58509945941.0
8.375,hercules,true,,cos_sim,sqrt_dim,1,200,63808883079.0
8.375,hercules,true,,cos_sim,gelu,1,200,66549800430.0
8.4375,zeus,false,0.5,identity,relu,1,200,57403176401.0
8.5625,hydra,true,,tanh,relu,1,200,63510552775.0
8.5625,hydra,true,,gelu,gelu,1,200,65725595197.0
8.5625,hercules,true,,sqrt_dim,identity,1,200,62609836843.0
8.5625,hercules,true,,tanh,gelu,1,200,63939993214.0
8.5625,zeus,false,0.5,sigmoid,relu,1,200,60745029954.0
8.625,hercules,true,,sqrt_dim,relu,1,200,61345034072.0
8.625,zeus,false,0.5,sigmoid,gelu,1,200,61721069039.0
8.6875,hydra,true,,identity,relu,1,200,61495376442.0
8.6875,hercules,true,,sigmoid,sqrt_dim,1,200,63585288741.0
8.6875,zeus,false,0.5,sigmoid,identity,1,200,61873077016.0
8.75,zeus,false,0.5,gelu,relu,1,200,58253189206.0
8.8125,hercules,true,,sqrt_dim,gelu,1,200,62727026425.0
8.9375,zeus,false,0.5,identity,sqrt_dim,1,200,58833644104.0
9.125,zeus,false,0.5,tanh,sqrt_dim,1,200,60904723415.0
9.25,hercules,true,,gelu,softmax,1,200,61843912987.0
9.3125,hydra,true,,tanh,gelu,1,200,65708976913.0
9.4375,hercules,true,,tanh,sqrt_dim,1,200,60367971795.0
9.4375,zeus,false,0.5,sigmoid,sqrt_dim,1,200,60257777724.0
9.5,zeus,false,0.5,gelu,gelu,1,200,58135888160.0
9.6875,hercules,true,,gelu,relu,1,200,64454319098.0
9.6875,hercules,true,,gelu,identity,1,200,65093303898.0
9.6875,zeus,false,0.5,relu,relu,1,200,58083006286.0
9.6875,zeus,false,0.5,relu,identity,1,200,61698849209.0
9.8125,zeus,false,0.5,relu,gelu,1,200,58799426300.0
9.875,zeus,false,0.5,gelu,identity,1,200,60562521286.0
10.125,zeus,false,0.5,tanh,identity,1,200,59408370995.0
10.1875,zeus,false,0.5,identity,identity,1,200,58683435469.0
10.875,hydra,true,,identity,gelu,1,200,62677082239.0
12.8125,hydra,true,,sigmoid,sqrt_dim,1,200,66440048262.0
